Name,Nom,Growth,Soil,Sunlight,Watering,Fertilization,Life_cycle,Type_subshrub,Type_climbing,Type_succulent,Type_tree,Type_epiphytic,Type_shrub,Type_herbaceous,Usage_industrial,Usage_ornamental,Usage_aromatic,Usage_medicinal,Usage_melliferae,Usage_fodder,Usage_vegetable,Usage_fruit,Usage_spice,Usage_oil
engelmann spruce,Épicéa d'engelmann,0,3,2,1,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
barberry,Épine-vinette,1,0,2,3,4,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
red-leafed maple,Érable à feuilles rouges,0,3,1,3,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
japanese maple,Érable japonais,0,1,1,2,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
red maple,Érable rouge,0,3,2,3,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
daisy fleabane,Érigéron,1,2,1,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
tarragon,Estragon,0,0,2,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
eucalyptus,Eucalyptus,0,0,2,1,2,2,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
euphorbia,Euphorbe,2,0,2,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
fennel,Fenouil,1,0,2,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
ice plant,Ficoïde à feuilles en coin,2,0,2,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ficus tree,Ficus,0,3,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ficus benjamina,Ficus benjamina,1,3,0,1,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
fiddle leaf fig,Ficus lyrata,0,3,0,1,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ficus microcarpa,Ficus microcarpa,1,3,1,3,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
fig tree,Figuier,1,0,2,3,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
peepal tree,Figuier de bouddha,0,3,2,3,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
spider flower,Fleur araignée,1,3,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
cherry blossom,Fleur de cerisier,0,3,2,3,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
peace lily,Fleur de lune,1,3,0,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
elderflower,Fleur de sureau,1,3,2,3,0,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
fern (maidenhair),Fougère (capillaire),0,4,0,3,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
fern (boston),Fougère (de boston),1,3,0,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
fern (boston fern),Fougère (fougère de boston),1,3,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
strawberry plant,Fraisier,1,3,2,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
raspberry,Framboise,1,1,2,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
plumeria,Frangipanier,1,2,2,3,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
fritillaria,Fritillaire,0,3,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
dragon fruit,Fruit du dragon,2,0,2,3,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
fuchsia,Fuchsia,0,3,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
blanket flower,Gaillarde,2,0,2,1,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
galangal,Galanga,1,3,1,3,4,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
galax,Galax,1,4,1,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
gardenia,Gardénia,0,1,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
